entity_id,entreprise,score,score_brut,tier,porte,fit,comite_personnes_14j,sponsor_decideur,qui_appeler,son_titre,preuve,canal,play,segment,n_records,signaux_negatifs,perdu_canal_mort,perte,silence
ENT-11497,NordibelForge France,94.4,94.42013746055132,T1,conversion,B,4,oui,Emil Garcia,HR Manager,RDV pris le 07-20,email,new_business,PROSPECT_CHAUD,1,0.0,0,,
ENT-09782,Lorritasdata,87.4,87.41159995313386,T1,conversion,B,4,oui,Thomas Moreau,CHRO,formulaire le 07-15,email,new_business,PROSPECT_CHAUD,1,0.0,0,,
ENT-19636,Wallivendigital SARL,70.3,70.26943731948158,T1,conversion,B,3,oui,Elise Garcia,Directeur RH,formulaire le 07-19,email,new_business,PROSPECT_CHAUD,1,0.0,0,,
ENT-15161,Roccaviaforge France,15.1,15.08692846993135,T2,,A,1,oui,Nicolas Michel,VP People,"1 personne active / 14 j, sans demande",téléphone/LinkedIn (désabonné),retention,CLIENT_ACTIF,3,0.0,0,,
ENT-07204,HaldemarTech,20.4,20.382532762784912,T2,,A,2,oui,Sanne Serrano,CEO,"2 personnes actives / 14 j, sans demande",email,retention,CLIENT_ACTIF,2,0.0,0,,
ENT-02665,CendralexImmo SA,12.5,12.51136297522781,T2,,A,1,non,Lea Dubois,HR Manager,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-05475,Fernoforge & Co,9.0,8.957116718753351,T2,,A,1,non,Greta Boyer,HR Manager,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-01261,Belfobellogic SAS,8.9,8.905863834917323,T2,,A,1,oui,Femke Rossi,Head of Talent Acquisition,"1 personne active / 14 j, sans demande",téléphone/LinkedIn (désabonné),retention,CLIENT_ACTIF,2,0.0,0,,
ENT-00216,Altamarhub & Co,8.9,8.896415815557592,T2,,A,1,non,Marta Moreau,,"1 personne active / 14 j, sans demande",téléphone/LinkedIn (désabonné),new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-11340,Neopramedia SA,8.4,8.444850628946522,T2,,A,2,oui,Lea Jansen,Chief People Officer,"2 personnes actives / 14 j, sans demande",téléphone/LinkedIn (désabonné),retention,CLIENT_ACTIF,2,0.0,0,,
ENT-00044,Altacalpartners SA,8.1,8.122523963562356,T2,,A,1,oui,Pierre Girard,Head of HR Operations,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-10372,Mavigormobility,8.0,8.017915408066104,T2,,A,2,oui,Lea Guerin,VP People,"2 personnes actives / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-06092,FlexisolForge SARL,8.0,8.0,T2,,A,1,oui,Emil Garcia,Head of HR Operations,"1 personne active / 14 j, sans demande",email,win_back,EX_CLIENT_REACTIF,2,0.0,0,,
ENT-02623,CendragorTech Group,9.0,8.999207668339954,T2,,A,1,non,Margaux Martin,Talent Acquisition Manager,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,1,0.0,0,,
ENT-11583,Nordifinsolutions France,8.9,8.886107736822542,T2,,A,2,oui,Florian Muller,CHRO,"2 personnes actives / 14 j, sans demande",téléphone/LinkedIn (désabonné),new_business,PROSPECT_TIEDE,1,0.0,0,,
ENT-03113,Cortimarconseil SA,8.8,8.811121126386368,T2,,A,1,oui,Benjamin Serrano,COO,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,1,0.0,0,,
ENT-09836,Lorriviaimmo,8.5,8.545197520593828,T2,,A,1,oui,Manon Andre,COO,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,1,0.0,0,,
ENT-19818,YellohalSoft,8.1,8.050293012833274,T2,,A,1,non,Elise Smit,HRBP,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,1,0.0,0,,
ENT-06083,Flexiservices SARL,8.1,8.119143076182214,T2,,B,1,oui,Nicolas Garcia,Head of HR Operations,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-18709,Vertipradigital,14.8,14.793889241888055,T2,,B,1,oui,Vincent Boyer,Head of Talent Acquisition,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-07689,HelioquiWorks SARL,13.5,13.527130198336051,T2,,B,1,oui,Thomas Navarro,Head of HR Operations,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-05462,FernofinLogic,13.5,13.462423677218878,T2,,B,1,oui,Sophie Muller,VP Human Resources,"1 personne active / 14 j, sans demande",téléphone/LinkedIn (pas d'adresse pro),new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-19823,Yellohub & Co,11.6,11.62825182803995,T2,,B,2,oui,Nicolas Rossi,CHRO,"2 personnes actives / 14 j, sans demande",email,win_back,EX_CLIENT_REACTIF,2,0.0,0,,
ENT-00686,ArdenpraHub France,10.8,10.819970877809931,T2,,B,1,non,Diego Petit,HR Business Partner,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-16677,Sylvaquilogistics SAS,10.1,10.062866266041592,T2,,B,1,oui,Vincent Rossi,Head of Talent Acquisition,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-04698,EstevaImmo SARL,9.7,9.723898736273814,T2,,B,1,non,Guillaume Muller,HR Business Partner,"1 personne active / 14 j, sans demande",téléphone/LinkedIn (pas d'adresse pro),new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-18664,VertimarFlow,9.6,9.601439083643498,T2,,B,1,oui,Quentin Leroy,Head of HR Operations,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-07305,Halderintech,9.0,8.960307997539717,T2,,B,1,oui,Jonas Michel,Directeur RH,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-19416,Wallihub,8.5,8.526127748823786,T2,,B,1,non,Margaux Serrano,Responsable Recrutement,"1 personne active / 14 j, sans demande",email,retention,CLIENT_ACTIF,2,0.0,0,,
ENT-09377,Kelvitastech,8.2,8.217369806987058,T2,,B,1,non,Marion Fournier,Talent Acquisition Specialist,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-04256,Ederifinworks France,11.4,11.421733578723057,T2,,B,1,oui,Claire Smit,Directrice RH,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,1,0.0,0,,
ENT-09817,Lorrivenmobility & Co,10.4,10.360013067512373,T2,,B,1,oui,Guillaume Jansen,Head of People,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,1,0.0,0,,
ENT-07280,Haldequiworks,9.8,9.84915530675933,T2,,B,1,oui,Quentin Muller,CEO,"1 personne active / 14 j, sans demande",email,reactivation,LOST_REACTIF,1,0.0,0,,
ENT-05434,Fernodorlab,8.2,8.184120909597691,T2,,B,1,non,Femke Boyer,People Ops Manager,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,1,0.0,0,,
ENT-11299,NeoMobility,13.3,13.308628719273656,T2,,C,2,non,Laura Roux,People Ops Coordinator,"2 personnes actives / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-02819,CendraSoft,8.9,8.884490368177355,T2,,C,1,non,Lucas Serrano,Recruiter,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,2,0.0,0,,
ENT-17126,TalosolLogic Group,9.0,8.978642703821397,T2,,C,1,non,Sophie Mercier,People Ops Coordinator,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,1,0.0,0,,
ENT-05326,FabritasSolutions,7.1,7.094358577083965,T3,,A,1,non,Antoine Leroy,HR Officer,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,4,0.0,0,,
ENT-17128,TalosolMedia & Co,5.3,5.278031643091577,T3,,A,1,oui,Elise Michel,Head of HR Operations,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,4,0.0,0,,
ENT-16176,Stellalumsolutions Group,4.2,4.178642703821396,T3,,A,1,non,Claire Andre,People Ops Coordinator,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,4,0.0,0,,
ENT-14483,Rapihallab & Co,2.3,2.3297275412054708,T3,,A,0,non,Hugo Lefebvre,HR Manager,"signaux récents (15-21 j), sans demande",email,win_back,EX_CLIENT_REACTIF,4,0.0,0,,
ENT-03861,DoriohalHub SA,2.3,2.293665293708267,T3,,A,0,non,Pierre Weber,Head of Talent Acquisition,"signaux récents (15-21 j), sans demande",email,retention,CLIENT_ACTIF,4,0.0,0,,
ENT-17840,Ulmimarpartners,1.8,1.7847024838062757,T3,,A,1,oui,Margaux Laurent,HR Director,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,4,0.0,0,,
ENT-00616,Ardenlumenergie France,0.7,0.7203650333337953,T3,,A,0,non,Hugo Durand,CEO,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,4,0.0,0,,
ENT-08965,Juntosystems France,0.7,0.6791397411831818,T3,,A,0,non,Anais Lefebvre,HR Business Partner,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,4,0.0,0,,
ENT-19037,VespilexSoft France,0.6,0.6091892972671766,T3,,A,0,non,Felix Lambert,Head of Talent Acquisition,"signaux récents (15-21 j), sans demande",email,win_back,EX_CLIENT_REACTIF,4,0.0,0,,
ENT-14295,Quantitasforge SARL,0.6,0.6,T3,,A,0,non,Pierre Faure,Recruiter,"signaux récents (15-21 j), sans demande",email,retention,CLIENT_ACTIF,4,0.0,0,,
ENT-09265,Kelvinexworks,0.5,0.46723213308155365,T3,,A,0,non,Hugo Weber,,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,4,0.0,0,,
ENT-08662,Juntocalimmo SA,0.2,0.2,T3,,A,0,non,Benjamin Chevalier,HRBP,"signaux récents (15-21 j), sans demande",email,retention,CLIENT_ACTIF,4,0.0,0,,
ENT-03601,Delfirinconsulting & Co,0.0,0.0,T3,,A,1,non,Quentin Girard,Office Manager,"1 personne active / 14 j, sans demande",email,win_back,EX_CLIENT_REACTIF,4,0.0,0,,
ENT-06755,Grimolexretail,0.0,0.0,T3,,A,0,non,,,,,nurture,TOUCHE_EMAIL_SEULEMENT,4,0.0,0,,sans_signal
ENT-07825,Iberibelpartners,0.0,0.0,T3,,A,0,non,,,,,nurture,TOUCHE_EMAIL_SEULEMENT,4,0.0,0,,sans_signal
ENT-12374,OptidorWorks SARL,0.0,0.0,T3,,A,0,non,,,,,retention,CLIENT_ACTIF,4,0.0,0,,sans_signal
ENT-16974,Talologic,0.0,0.0,T3,,A,0,non,,,,,retention,CLIENT_ACTIF,4,0.0,0,,sans_signal
ENT-17794,Ulmilexsoft & Co,0.0,0.0,T3,,A,0,non,,,,,win_back,EX_CLIENT_REACTIF,4,0.0,0,,sans_signal
ENT-01053,Axiomarservices SAS,7.6,7.61653786416869,T3,,A,2,non,Alexandre Fournier,HR Manager,"2 personnes actives / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-12832,OvaligorImmo SA,5.2,5.200759086679907,T3,,A,1,non,Diego Blanc,HR Manager,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-03870,DoriohalPartners France,5.1,5.120104214178672,T3,,A,1,oui,Nicolas Fournier,Head of Talent Acquisition,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-02045,BriovenConsulting France,5.1,5.077650497809834,T3,,A,1,non,Julie Smit,Responsable Recrutement,"1 personne active / 14 j, sans demande",email,win_back,EX_CLIENT_REACTIF,3,0.0,0,,
ENT-09306,KelviquiServices,5.0,5.037917367995256,T3,,A,1,non,Guillaume Girard,HR Manager,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-09128,Kelviforge,4.6,4.602863179940988,T3,,A,1,oui,Greta Garnier,CHRO,"1 personne active / 14 j, sans demande",email,retention,CLIENT_ACTIF,3,0.0,0,,
ENT-02684,Cendralumenergie SA,4.6,4.5947934199881395,T3,,A,1,oui,Lars Girard,Directeur RH,"1 personne active / 14 j, sans demande",email,risque,CLIENT_RENEWAL_ECHUE,3,0.0,0,,
ENT-16536,Sylvahallab SARL,4.5,4.525483399593905,T3,,A,1,non,Guillaume Serrano,HR Business Partner,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-15791,SoliMobility Group,4.3,4.335597758518197,T3,,A,1,non,Vincent Smit,Recruiter,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-05565,FernolumMobility,4.0,4.0,T3,,A,1,oui,Romain Jansen,Head of Talent Acquisition,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-09013,Juntoviadynamics,4.0,4.0,T3,,A,1,oui,Greta Lefebvre,Head of HR Operations,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-18799,VertiSolutions SARL,3.9,3.9396621227037323,T3,,A,1,non,Anna Jansen,HR Manager,"1 personne active / 14 j, sans demande",email,retention,CLIENT_ACTIF,3,0.0,0,,
ENT-01498,BelfopraConsulting SARL,3.7,3.731567549280748,T3,,A,0,non,Nora Garnier,Compensation & Benefits Manager,"signaux récents (15-21 j), sans demande",téléphone/LinkedIn (désabonné),retention,CLIENT_ACTIF,3,0.0,0,,
ENT-00081,Altafinance SA,3.6,3.637719759624955,T3,,A,1,non,Claire Bonnet,Recruiter,"1 personne active / 14 j, sans demande",email,win_back,EX_CLIENT_REACTIF,3,0.0,0,,
ENT-10183,LumisolWorks France,3.4,3.394112549695428,T3,,A,1,non,Sanne Laurent,Talent Acquisition Specialist,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-01772,Briogordata,3.2,3.166818985854946,T3,,A,1,non,Jonas Andre,Recruiter,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-02206,Caurigortech & Co,3.0,2.9857055729177837,T3,,A,1,non,Anais Faure,HR Business Partner,"1 personne active / 14 j, sans demande",email,win_back,EX_CLIENT_REACTIF,3,0.0,0,,
ENT-17262,TerradorFood,3.0,2.954746592027799,T3,,A,1,non,Romain Smit,HR Assistant,"1 personne active / 14 j, sans demande",email,retention,CLIENT_ACTIF,3,0.0,0,,
ENT-09338,Kelvisoft,2.9,2.8538558914311545,T3,,A,0,non,Pauline Blanc,HR Manager,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-08443,Ivoronexdata,2.8,2.8284271247461903,T3,,A,1,non,Chloe Fischer,,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-04723,Estevalogic Group,2.6,2.6437524358161335,T3,,A,0,non,Sanne Michel,Chief People Officer,"signaux récents (15-21 j), sans demande",email,risque,CLIENT_RENEWAL_ECHUE,3,0.0,0,,
ENT-01610,Belfotasmedia,2.6,2.621075629079098,T3,,A,1,non,Pablo Navarro,Compensation & Benefits Manager,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-00048,Altacalsoft,2.6,2.599207668339954,T3,,A,2,non,Alexandre Michel,Responsable Recrutement,"2 personnes actives / 14 j, sans demande",email,win_back,EX_CLIENT_REACTIF,3,0.0,0,,
ENT-11541,Nordidigital,2.5,2.4622888266898326,T3,,A,1,non,Benjamin Weber,,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-07582,Heliolumfinance,2.4,2.363405879841803,T3,,A,0,non,Antoine Blanc,VP People,"signaux récents (15-21 j), sans demande",email,win_back,EX_CLIENT_REACTIF,3,0.0,0,,
ENT-14471,Rapigorworks Group,2.3,2.2844567318067988,T3,,A,0,non,Anais Visser,HR Officer,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-08568,IvorotasHub,2.1,2.089321351910698,T3,,A,1,non,Jan Fournier,HR Assistant,"1 personne active / 14 j, sans demande",téléphone/LinkedIn (pas d'adresse pro),retention,CLIENT_ACTIF,3,0.0,0,,
ENT-01343,BelfofinSolutions & Co,2.0,2.0291540567733515,T3,,A,0,non,Claire Girard,Head of People,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-09749,Lorririnpharma,1.9,1.9291922325653275,T3,,A,1,non,Nora Jansen,Talent Acquisition Specialist,"1 personne active / 14 j, sans demande",email,win_back,EX_CLIENT_REACTIF,3,0.0,0,,
ENT-11434,NeotasIndustries SA,1.8,1.8379173679952558,T3,,A,0,non,Sophie Fournier,Responsable Recrutement,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-19933,YellopraFlow France,1.8,1.7999999999999998,T3,,A,0,non,Julien Garnier,Recruiter,"signaux récents (15-21 j), sans demande",email,win_back,EX_CLIENT_REACTIF,3,0.0,0,,
ENT-12965,Ovalinexretail,1.8,1.7927223239622982,T3,,A,0,non,Pierre Meyer,People Ops Coordinator,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-09989,Lumihalindustries,1.7,1.697056274847714,T3,,A,0,non,Emma Fontaine,Charge de recrutement,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-14293,QuantitasFlow SA,1.6,1.6,T3,,A,0,non,Nicolas Garnier,Talent Acquisition Manager,"signaux récents (15-21 j), sans demande",email,win_back,EX_CLIENT_REACTIF,3,0.0,0,,
ENT-11282,NeomarImmo,1.5,1.5,T3,,A,0,non,Chloe Visser,COO,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-06802,Grimomarpartners SAS,1.5,1.4779992277889562,T3,,A,0,non,Felix Navarro,Compensation & Benefits Manager,"signaux récents (15-21 j), sans demande",téléphone/LinkedIn (pas d'adresse pro),new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-12518,OptimarPartners,1.5,1.4763843615813799,T3,,A,0,non,Jan Roux,Head of Talent Acquisition,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-14619,Rapiquiconsulting Group,1.4,1.4142135623730951,T3,,A,0,non,Emil Bernard,Head of HR Operations,"signaux récents (15-21 j), sans demande",email,retention,CLIENT_ACTIF,3,0.0,0,,
ENT-19290,WallibelRetail SARL,1.4,1.3722805316683293,T3,,A,0,non,Benjamin Weber,Recruiter,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-13985,Quanticalindustries Group,1.3,1.3416049976849738,T3,,A,0,non,Jan Dupont,,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-00876,Axiocalhub,1.3,1.2861281550435517,T3,,A,0,non,Julie Lambert,People Ops Coordinator,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-03428,DelfigorWorks France,1.2,1.2249999999999999,T3,,A,0,non,Nicolas Serrano,Charge de recrutement,"signaux récents (15-21 j), sans demande",email,win_back,EX_CLIENT_REACTIF,3,0.0,0,,
ENT-03406,DelfiFlow Group,1.2,1.2000000000000002,T3,,A,0,non,Femke Boyer,Compensation & Benefits Manager,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-01303,Belfodorforge SAS,1.2,1.2,T3,,A,0,non,Marion Moreau,Talent Acquisition Specialist,"signaux récents (15-21 j), sans demande",téléphone/LinkedIn (pas d'adresse pro),new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-20252,ZephiLab SAS,1.2,1.2,T3,,A,0,non,Greta Bernard,People Ops Coordinator,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-04458,Ederirinlab SA,1.1,1.0717734625362931,T3,,A,1,oui,Guillaume Blanc,HR Director,"1 personne active / 14 j, sans demande",téléphone/LinkedIn (désabonné),win_back,EX_CLIENT_REACTIF,3,0.0,0,,
ENT-03879,Doriolab,1.1,1.0556063286183155,T3,,A,0,non,Anais Chevalier,Talent Acquisition Manager,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-06555,Gallivenmobility,1.0,1.0412346222116529,T3,,A,0,non,Femke Visser,,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-16047,StelladorServices,1.0,1.0145347648752039,T3,,A,0,non,Sarah Visser,Recruiter,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-00242,Altanexhub,1.0,0.9849155306759331,T3,,A,1,non,Sarah Laurent,Compensation & Benefits Manager,"1 personne active / 14 j, sans demande",email,win_back,EX_CLIENT_REACTIF,3,0.0,0,,
ENT-14732,Rapiventech,0.9,0.8975125868932834,T3,,A,0,non,Sophie Petit,HR Officer,"signaux récents (15-21 j), sans demande",email,retention,CLIENT_ACTIF,3,0.0,0,,
ENT-19845,YellolexRetail,0.9,0.870550563296124,T3,,A,0,non,Quentin Vincent,Head of HR Operations,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-07147,Haldeleximmo,0.9,0.8574187700290345,T3,,A,0,non,Claire Michel,People Ops Manager,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-02686,CendralumFood,0.8,0.8344735790867259,T3,,A,0,non,Jonas Muller,HRBP,"signaux récents (15-21 j), sans demande",téléphone/LinkedIn (pas d'adresse pro),retention,CLIENT_ACTIF,3,0.0,0,,
ENT-15380,Serenimarlogic & Co,0.8,0.8122523963562356,T3,,A,0,non,Nicolas Weber,Head of Talent Acquisition,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-07329,Haldesolutions,0.8,0.8,T3,,A,0,non,Quentin Roux,Responsable Recrutement,"signaux récents (15-21 j), sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
ENT-10441,MavilumFood,0.8,0.8,T3,,A,1,non,Julien Weber,Compensation & Benefits Manager,"1 personne active / 14 j, sans demande",email,new_business,PROSPECT_TIEDE,3,0.0,0,,
